slug,name,bio,performer_image,performer_type,featured,feature_ordering
max_and_nicky,Max and Nicky,max_and_nicky.md,max_and_nicky.jpeg,stand-up,FALSE,
meghana_indurti,Meghana Indurti,meghana_indurti.md,meghana_indurti.jpg,stand-up,FALSE,
michelle_chan_bennett,Michelle Chan Bennett,michelle_chan_bennett.md,michelle_chan_bennett.jpg,character,FALSE,
mike_lane,Mike Lane,mike_lane.md,mike_lane.jpg,stand-up,FALSE,
milan_patel,Milan Patel,milan_patel.md,milan_patel.jpg,stand-up,FALSE,
miss_golightly,Miss Golightly,miss_golightly.md,miss_golightly.jpeg,improv,FALSE,
monstera,Monstera,monstera.md,monstera.jpeg,improv,FALSE,
mothership,Mothership,mothership.md,mothership.jpeg,improv,FALSE,
msg_comedy,M.S.G. Comedy,msg_comedy.md,msg_comedy.jpeg,sketch,FALSE,
nihongo_dake,Nihongo Dake,nihongo_dake.md,nihongo_dake.jpeg,improv,FALSE,
pallavi_gunalan,Pallavi Gunalan,pallavi_gunalan.md,pallavi_gunalan.jpeg,stand-up,FALSE,
peter_s_kim,Peter S. Kim,peter_s_kim.md,peter_s_kim.jpg,stand-up,FALSE,
pisces,Pisces,pisces.md,pisces.jpeg,improv,FALSE,
please_take_off_your_shoes,Please Take Off Your Shoes,please_take_off_your_shoes.md,please_take_off_your_shoes.jpeg,sketch,FALSE,
robin_tran,Robin Tran,robin_tran.md,robin_tran.jpeg,stand-up,FALSE,
room_to_improv,Room To Improv,room_to_improv.md,room_to_improv.jpg,improv,FALSE,
sahana_srinivasan,Sahana Srinivasan,sahana_srinivasan.md,sahana_srinivasan.jpeg,stand-up,FALSE,
sam_oh,Sam Oh,sam_oh.md,sam_oh.jpeg,musical comedy,FALSE,
sammy_cantu,Sammy Cantu,sammy_cantu.md,sammy_cantu.jpeg,stand-up,FALSE,
shivaan_nadan,Shivaan Nadan,shivaan_nadan.md,shivaan_nadan.jpeg,stand-up,FALSE,
sierra_katow,Sierra Katow,sierra_katow.md,sierra_katow.jpeg,stand-up,FALSE,
shoes_off,Shoes Off,shoes_off.md,shoes_off.jpg,improv,FALSE,
stir_friday_night,Stir Friday Night,stir_friday_night.md,stir_friday_night.jpg,improv,FALSE,
sundeep_morrison_dlo,Sundeep Morrison & D'Lo,sundeep_morrison_dlo.md,,character,FALSE,
super_live,Super Live,super_live.md,super_live.jpeg,improv,FALSE,
tatyana_guchi,Tatyana Guchi,tatyana_guchi.md,tatyana_guchi.jpg,stand-up,FALSE,
teruko_nakajima,Teruko Nakajima,teruko_nakajima.md,teruko_nakajima.jpg,character,FALSE,
the_s_team,The S Team,the_s_team.md,the_s_team.png,improv,FALSE,
tian_mi_mi,Tian Mi Mi,tian_mi_mi.md,tian_mi_mi.jpeg,improv,FALSE,
tien_tran,Tien Tran,tien_tran.md,tien_tran.jpg,stand-up,FALSE,
voltron,Voltron,voltron.md,voltron.jpg,improv,FALSE,
will_pepper,Will Pepper,will_pepper.md,will_pepper.jpeg,stand-up,FALSE,
woody_fu,Woody Fu,woody_fu.md,woody_fu.jpg,character,FALSE,
yall_we_asian,Y'all We Asian,yall_we_asian.md,yall_we_asian.jpeg,improv,FALSE,
yes_and_broadway,Yes And Broadway,yes_and_broadway.md,yes_and_broadway.jpg,improv,FALSE,
zindabaddies,Zindabaddies,zindabaddies.md,zindabaddies.png,improv,FALSE,
