workshop_teacher,workshop_title,workshop_description,teacher_image,date,start_time,end_time,cost,location,link,capacity
Sarah Claspell,Callbacks & Connections,sarah_claspell_workshop.md,sarah_claspell_workshop.jpg,2026-09-03,14:00,16:00,40,Outside In - ArtBox Stage,http://outsideintheatre.vbotickets.com/event/callbacks_connections_with_sarah_claspell_improv_workshop/205274,16
Joy Regullano,Writing and Producing a Short Film,joy_regullano_workshop.md,joy_regullano_workshop.jpg,2026-09-03,14:00,16:00,40,Outside In - Classroom,http://outsideintheatre.vbotickets.com/event/writing_and_producing_a_short_film_with_joy_regullano_writing_workshop/205331,16
Jonathan Lee-Rey,Chicago Style Improv,jonathan_lee_rey_workshop.md,jonathan_lee_rey_workshop.jpg,2026-09-04,10:30,13:30,60,Outside In - ArtBox Stage,http://outsideintheatre.vbotickets.com/event/chicago_style_improv_how_to_approach_scenes_from_the_heart_with_jonathan_lee-rey_improv_workshop/205275,16
Woody Fu,How Do I Start My Career?,woody_fu_workshop.md,woody_fu_workshop.jpg,2026-09-04,10:30,13:30,60,Outside In - Classroom,http://outsideintheatre.vbotickets.com/event/how_do_i_start_my_career_with_woody_fu_career_workshop/205276,16
Donald Chang,Improvised Blockbuster,donald_chang_workshop.md,donald_chang_workshop.jpg,2026-09-04,14:00,16:00,40,Outside In - ArtBox Stage,http://outsideintheatre.vbotickets.com/event/improvised_blockbuster_with_donald_chang_improv_workshop/205277,16
Ryan Chittaphong,Acting Technique for Sketch & Improv,ryan_chittaphong_workshop.md,ryan_chittaphong_workshop.jpg,2026-09-04,14:00,16:00,40,Outside In - Classroom,http://outsideintheatre.vbotickets.com/event/stella_adlers_acting_technique_for_sketch__improv_with_ryan_chittaphong_acting_workshop/205329,16
Lilan Bowden,Get Out of Your Head And Into Your Feelings!,lilan_bowden_workshop.md,lilan_bowden_workshop.jpg,2026-09-05,10:00,12:00,40,Outside In - Classroom,http://outsideintheatre.vbotickets.com/event/get_out_of_your_head_and_into_your_feelings_with_lilan_bowden_improv_workshop/205327,16
Shilpa Das,Write A Comedy Song 101,shilpa_das_workshop.md,shilpa_das_workshop.jpg,2026-09-06,10:00,12:00,40,Outside In - Classroom,http://outsideintheatre.vbotickets.com/event/write_a_comedy_song_101_with_shilpa_das_musical_comedy_workshop/205278,10
